time (s)	magX	magY	magZ
6716.767117	288.167725	-189.152542	1128.421387
6716.770448	289.862671	-179.742859	1129.941040
6716.773779	292.200470	-170.859146	1133.623047
6716.777124	294.479858	-161.858566	1133.389282
6716.780446	295.648743	-152.273529	1136.253052
6716.783776	296.992981	-142.513153	1136.486816
6716.787119	299.097015	-132.869675	1136.779053
6716.790445	300.850403	-123.459969	1136.369995
6716.793777	302.194611	-113.465805	1137.480469
6716.797109	304.006409	-103.471657	1137.947998
6716.800439	304.824646	-93.828171	1138.064819
6716.803778	305.467560	-84.243134	1137.071289
6716.807110	306.928711	-74.307419	1135.551758
6716.810442	307.980713	-64.547043	1133.564575
6716.813777	308.798950	-54.143776	1136.019287
6716.817111	310.143188	-44.324955	1132.746338
6716.820445	311.487427	-34.330799	1132.045044
6716.823772	311.136780	-24.219753	1130.642334
6716.827110	311.838104	-13.758037	1127.661621
6716.830452	313.065460	-3.997663	1127.836914
6716.833773	313.533020	6.113384	1126.492676
6716.837104	313.825256	17.276447	1122.226196
6716.840482	314.234375	27.738165	1117.842773
6716.843773	314.701935	37.732319	1114.511353
6716.847109	315.753937	47.726479	1111.705933
6716.850437	315.111023	57.428406	1109.251343
6716.853768	315.578613	68.182350	1104.108154
6716.857103	315.403259	77.767387	1100.367676
6716.860437	315.169495	87.703102	1096.685669
6716.863771	315.637054	97.580368	1092.185303
6716.867106	314.526611	107.106956	1085.873169
6716.870437	314.935699	117.393341	1083.243042
6716.873767	314.000580	127.153709	1077.690796
6716.878373	313.007019	147.025131	1066.235596
6716.881723	312.247223	156.317932	1062.436646
6716.884681	312.013428	166.312088	1056.942749
6716.887969	310.727661	174.669769	1051.448853
6716.891332	309.675598	184.137924	1045.838135
6716.894674	308.857391	194.365860	1038.357056
6716.897946	307.980713	203.775558	1033.097046
6716.901274	307.104034	211.841019	1026.025146
6716.904629	305.467560	221.133835	1020.414429
6716.907544	304.064880	229.374634	1014.219238
6716.910875	302.954407	238.316757	1007.088867
6716.914183	301.376404	246.499115	1000.192261
6716.917521	299.973694	254.097015	994.172363
6716.920878	297.869659	262.630035	986.983582
6716.924205	296.700745	270.052612	981.256042
6716.927538	294.187622	277.942719	972.839844
6716.930857	292.434235	285.949768	965.183594
6716.933765	290.213318	293.196960	959.455872
6716.937091	288.284637	300.619537	951.156616
6716.940426	286.706604	308.509674	943.792542
6716.943766	284.485657	315.873779	939.175354
6716.947097	282.498535	322.653442	930.876099
6716.950433	279.926941	329.374634	922.927490
6716.953762	277.647583	336.504974	915.271179
6716.957097	275.368225	342.291077	906.796692
6716.960437	273.497955	348.720062	899.958557
6716.963760	271.160156	355.616608	892.886658
6716.967089	269.348328	361.461151	885.639404
6716.970425	267.127380	366.487427	878.742798
6716.973775	263.737579	372.916443	869.800659
6716.977146	262.627136	379.053192	862.085937
6716.980427	260.172424	383.962616	854.546448
6716.983756	257.776154	389.047363	847.299194
6716.987092	255.087662	394.132080	840.344238
6716.990426	253.100525	399.918182	832.161926
6716.993770	250.762711	404.535370	824.388733
6716.997088	248.600235	409.970795	817.959717
6717.000427	245.736404	413.711304	810.128052
6717.003761	243.106369	419.731140	801.185913
6717.007091	241.119232	423.062561	794.464600
6717.010422	236.385147	392.437164	-1301.151978
6717.013759	236.443604	431.770905	779.210388
6717.017090	233.813553	436.212738	769.742249
6717.020422	231.709518	440.187012	761.968994
6717.023757	228.611923	442.583282	754.429626
6717.027116	226.274109	446.265350	747.123901
6717.030418	224.111618	450.940979	738.941528
6717.033754	220.955582	453.045044	734.441223
6717.037087	218.500870	457.077728	727.018738
6717.040416	216.455292	459.181793	719.713013
6717.043754	214.468140	462.454712	711.998230
6717.047090	211.604309	465.610748	706.738159
6717.050416	209.266510	468.123901	698.555847
6717.053749	206.519577	469.701965	691.834595
6717.057104	203.597305	472.448883	686.632996
6717.060416	200.675049	474.377594	681.197571
6717.063751	198.804794	476.890717	673.073669
6717.067082	195.707184	478.468750	667.988892
6717.070417	193.427826	481.098785	661.442993
6717.075011	187.758621	484.956177	650.279968
6717.077924	185.128571	486.358887	642.272949
6717.081279	182.323212	488.053802	637.188232
6717.084662	180.336060	488.696686	630.759216
6717.087998	177.706009	491.268250	627.077148
6717.091260	175.192871	492.261841	620.472839
6717.094592	172.913498	494.015228	614.336060
6717.097942	169.874344	495.125671	608.666870
6717.101335	167.711853	496.352997	602.471680
6717.104185	164.848038	497.229706	596.451782
6717.107503	162.977783	497.989502	590.548828
6717.110859	160.698425	498.515503	585.171875
6717.114161	158.711273	499.567505	581.022217
6717.117524	156.607239	500.444183	575.995972
6717.120854	154.327881	500.385773	570.443604
6717.124164	152.340729	502.548218	564.599060
6717.127075	150.412033	502.372894	558.929871
6717.130412	148.015778	503.775604	552.910034
6717.133741	145.911743	502.548218	548.526611
6717.137079	143.690826	504.126251	543.675659
6717.140412	141.820572	504.652252	538.649353
6717.143744	139.716537	504.535400	533.564575
6717.147074	137.028046	504.886047	529.239624
6717.150412	135.333130	504.886047	523.687317
6717.153743	133.112213	505.353607	519.654602
6717.157072	131.767975	504.301605	515.855652
6717.160409	130.189941	504.652252	510.420227
6717.163743	127.384567	505.879608	505.627686
6717.167077	125.748100	504.418457	501.536560
6717.170408	123.644066	505.295197	497.854492
6717.173741	121.423141	504.769135	494.698425
6717.177075	119.611336	505.645844	490.431885
6717.180406	118.091751	505.178253	486.632996
6717.183738	115.695496	504.710724	482.834045
6717.187071	113.299240	504.769135	480.320862
6717.190407	111.545876	505.061401	475.762146
6717.193761	109.441841	504.476929	472.313843
6717.197073	107.746925	503.950928	468.748688
6717.200401	105.818230	503.950928	466.761566
6717.203738	104.473984	502.840485	463.196381
6717.207067	102.311508	502.606689	460.215698
6717.210404	100.265923	503.541809	457.877838
6717.213733	97.986557	502.489746	454.897125
6717.217070	96.408531	503.424896	452.091766
6717.220400	94.479836	502.139099	449.052582
6717.223736	93.077148	502.139099	445.136749
6717.227065	90.914665	501.905334	443.324951
6717.230412	88.985970	502.197540	440.110474
6717.233732	88.226181	501.145538	438.590881
6717.237064	85.537697	501.145538	435.025696
6717.240403	84.661011	499.801300	433.681519
6717.243730	82.732315	501.028625	431.577454
6717.247064	80.745178	500.093506	428.479828
6717.250399	79.050262	499.275299	426.609589
6717.253732	77.881355	499.041504	424.680908
6717.257064	76.011101	499.625977	422.459961
6717.260394	74.491524	498.573914	421.057281
6717.263728	73.439507	498.690857	417.725922
6717.267067	71.101692	499.216827	415.797211
6717.271310	68.822319	497.580383	411.764496
6717.274570	66.309174	497.054382	410.244904
6717.277905	65.081818	497.405060	408.491547
6717.281260	63.270012	496.002350	406.562836
6717.284601	61.867325	496.937469	405.277039
